date,code,open,high,low,close,volume
20211223,hDJI,35782.421875,36060.98828125,35782.421875,35950.55859375,247420000.0
20211227,hDJI,35954.48046875,36306.609375,35954.48046875,36302.37890625,244350000.0
20211228,hDJI,36302.98828125,36527.26171875,36302.98828125,36398.2109375,239090000.0
20211229,hDJI,36421.140625,36571.55078125,36396.19140625,36488.62890625,213480000.0
20211230,hDJI,36522.48046875,36679.44140625,36372.12890625,36398.078125,205620000.0
20211231,hDJI,36385.8515625,36484.94140625,36303.96875,36338.30078125,213200000.0
20220103,hDJI,36321.58984375,36595.8203125,36246.44921875,36585.05859375,347930000.0
20220104,hDJI,36636.0,36934.83984375,36636.0,36799.6484375,435080000.0
20220105,hDJI,36722.6015625,36952.6484375,36400.390625,36407.109375,462040000.0
20220106,hDJI,36409.05078125,36464.19140625,36200.6796875,36236.46875,385890000.0
20220107,hDJI,36249.58984375,36382.83984375,36111.53125,36231.66015625,356110000.0
20220110,hDJI,36175.2109375,36175.2109375,35639.91015625,36068.87109375,430680000.0
20220111,hDJI,36058.8515625,36271.46875,35769.37890625,36252.01953125,356850000.0
20220112,hDJI,36336.16015625,36453.48828125,36168.1484375,36290.3203125,310180000.0
20220113,hDJI,36312.48828125,36513.87890625,36044.21875,36113.62109375,343640000.0
20220114,hDJI,35996.4296875,35996.4296875,35641.48828125,35911.80859375,389200000.0
20220118,hDJI,35661.76171875,35661.76171875,35262.01953125,35368.46875,427260000.0
20220119,hDJI,35412.30078125,35547.828125,35015.48828125,35028.6484375,393080000.0
20220120,hDJI,35102.66015625,35490.19921875,34670.12109375,34715.390625,369070000.0
20220121,hDJI,34701.69140625,34896.671875,34229.55078125,34265.37109375,523880000.0
20220124,hDJI,34070.609375,34420.98828125,33150.328125,34364.5,664010000.0
20220125,hDJI,34186.640625,34591.0390625,33545.51953125,34297.73046875,506430000.0
20220126,hDJI,34520.8203125,34815.671875,33876.48046875,34168.08984375,546330000.0
20220127,hDJI,34261.75,34773.3203125,34007.78125,34160.78125,527780000.0
20220128,hDJI,34135.23828125,34731.76953125,33807.51171875,34725.46875,568440000.0
